,level_0,index,Student_ID,Gender,Country_HDI,Country_HDI.fin,Certif.bin,age,iteration_quest,Exam.score,Exam.bin,Assignment.score,Assignment.bin,Quizz.1.score,Quizz.1.bin,Quizz.2.score,Quizz.2.bin,Quizz.3.score,Quizz.3.bin,Quizz.4.bin,Quizz.4.score,Quizz.5.bin,Quizz.5.score,Intro.MOOC,Prez.sem.1,S1.L1,S1.L2,S1.L3,S1.L4,S1.L5,S1.L6,Prez.sem.2,S2.L1,S2.L2,S2.L3,S2.L4,S2.L5,S2.L6,Prez.sem.3,S3.L1.1,S3.L1.2,S3.L2,S3.L3,S3.L4,S3.L5,Prez.sem.4,S4.L1.1,S4.L1.2,S4.L2,S4.L3,S4.L4,S4.L5,Prez.sem.5,S5.L1.1,S5.L1.2,S5.L2,S5.L3,S5.L4,S5.L5,Post.forum.0,view.forum.0,Post.forum.1,Post.forum.1.2,view.forum.1,view.forum.1.2,Post.forum.2,Post.forum.2.2,view.forum.2,view.forum.2.2,Post.forum.3,view.forum.3,Post.forum.4,Post.forum.4.2,view.forum.4,view.forum.4.2,Post.forum.5,Post.forum.5.2,view.forum.5,view.forum.5.2,last.video,last.quizz,view.forum.fonc.cours,Post.forum.fonc.cours,Assignment.choice,iteration_effec,Nb_Quizz_Realises,Nb_Videos_Visionnees,HDI,status
0,0,0.0,221.0,,,,,,1,,0,,0,,0,,0,,0,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1,0,0,,
1,1,1.0,19178.0,une femme,TH,TH,,,1,,0,,0,,0,,0,,0,0,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,1,0,1,TH,disengaging_learner
2,2,2.0,1086.0,une femme,TH,TH,,,1,,0,,0,11.0,1,20.0,1,17.33,1,1,20.0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,35,4,,,,1,4,30,TH,disengaging_learner
3,3,3.0,1948.0,une femme,TH,TH,,,1,,0,,0,,0,,0,,0,0,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,1,0,1,TH,disengaging_learner
4,4,4.0,16209.0,une femme,B,B,,,1,,0,,0,20.0,1,20.0,1,20.0,1,1,20.0,1,20.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,1,5,0,B,disengaging_learner
5,5,5.0,6685.0,un homme,,,,,1,,0,70.0,1,20.0,1,20.0,1,18.0,1,1,17.33,1,19.0,,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,16,5,,,,1,5,6,,
6,6,6.0,8629.0,,,,,,1,,0,,0,,0,,0,,0,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1,0,0,,
7,7,7.0,17343.0,un homme,,,,,1,,0,,0,18.0,1,,0,,0,0,,0,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,1,,,,1,1,4,,disengaging_learner
8,8,8.0,402.0,une femme,B,B,,,1,,0,60.0,1,20.0,1,20.0,1,18.0,1,1,20.0,1,20.0,,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,20,5,,,,1,5,11,B,
9,9,9.0,6403.0,un homme,B,B,,,1,,0,,0,0.0,1,,0,,0,0,,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,,,,1,1,3,B,disengaging_learner
